PlayerName,MatchesPlayed,Rank,PlayerProfile,TotalPoints,SuccessfulRaidPoints,RaidPoints,SuccessfulTackles,TacklePoints,AverageRaidPoints,AverageTacklePoints,DODRaidPoints,SuperRaids,SuperTackles,Super10s,High5s
                    Pawan Kumar Sehrawat,17,1.0,Raider,228,168.0,217.0,58.0,61.0,12.76,3.63,38.0,10.0,9.0,15.0,6.0
                    Pardeep Narwal,17,2.0,Raider,207,165.0,207.0,54.0,58.0,12.31,3.41,30.0,6.0,7.0,11.0,5.0
                    Naveen Kumar,16,3.0,Raider,199,161.0,197.0,52.0,58.0,12.18,3.39,27.0,5.0,7.0,11.0,5.0
                    Maninder Singh,18,4.0,Raider,175,148.0,175.0,49.0,55.0,9.72,3.24,27.0,5.0,7.0,8.0,5.0
                    Siddharth Sirish Desai,16,5.0,Raider,140,117.0,137.0,48.0,53.0,9.62,3.17,24.0,5.0,7.0,7.0,5.0
                    Deepak Niwas Hooda,18,6.0,All Rounder,134,98.0,125.0,46.0,51.0,8.56,3.07,24.0,4.0,6.0,5.0,4.0
                    Vikash Kandola,13,7.0,Raider,129,94.0,123.0,46.0,48.0,6.83,2.94,24.0,4.0,6.0,5.0,4.0
                    Rahul Chaudhari,18,8.0,Raider,120,92.0,113.0,44.0,47.0,6.53,2.83,24.0,3.0,5.0,5.0,3.0
                    Manjeet,18,9.0,Raider,118,83.0,103.0,44.0,46.0,6.53,2.79,24.0,3.0,5.0,4.0,3.0
                    Shrikant Jadhav,17,10.0,Raider,106,81.0,100.0,42.0,46.0,6.36,2.76,23.0,3.0,5.0,3.0,3.0
                    Rohit Gulia,18,11.0,All Rounder,105,77.0,99.0,40.0,45.0,6.28,2.75,20.0,2.0,5.0,3.0,3.0
                    K. Prapanjan,18,12.0,Raider,101,76.0,98.0,40.0,44.0,6.06,2.67,17.0,2.0,5.0,3.0,3.0
                    Abhishek Singh,15,13.0,Raider,99,74.0,98.0,39.0,43.0,5.82,2.65,15.0,2.0,5.0,3.0,3.0
                    Pankaj Mohite,15,13.0,Raider,99,73.0,92.0,38.0,42.0,5.56,2.58,13.0,2.0,4.0,2.0,2.0
                    Mohammad Esmaeil Nabibakhsh,18,15.0,All Rounder,93,71.0,89.0,38.0,41.0,5.25,2.56,12.0,2.0,4.0,2.0,2.0
                    Rohit Kumar,17,16.0,Raider,92,69.0,88.0,38.0,41.0,5.18,2.56,11.0,2.0,4.0,2.0,2.0
                    V. Ajith Kumar,15,17.0,Raider,89,65.0,84.0,37.0,40.0,5.11,2.56,11.0,2.0,3.0,2.0,2.0
                    Sachin Tanwar,16,18.0,Raider,85,59.0,77.0,36.0,40.0,5.0,2.53,11.0,2.0,3.0,2.0,2.0
                    Vinay,16,19.0,Raider,81,57.0,76.0,35.0,39.0,4.9,2.47,11.0,2.0,3.0,2.0,2.0
                    Chandran Ranjit,15,20.0,Raider,79,55.0,75.0,35.0,38.0,4.81,2.47,10.0,2.0,3.0,1.0,2.0
                    Arjun Deshwal,16,21.0,Raider,78,53.0,68.0,34.0,37.0,4.78,2.4,10.0,2.0,3.0,1.0,2.0
                    Sandeep Kumar Dhull,18,22.0,"Defender, left corner",62,47.0,58.0,34.0,37.0,4.75,2.35,10.0,2.0,3.0,1.0,2.0
                    More GB,16,23.0,Raider,60,44.0,56.0,33.0,36.0,4.46,2.33,10.0,2.0,3.0,1.0,2.0
                    Sumit,17,23.0,"Defender, left corner",60,43.0,49.0,31.0,35.0,4.31,2.33,10.0,1.0,3.0,1.0,1.0
                    Naveen,13,25.0,Raider,58,38.0,47.0,31.0,34.0,4.17,2.29,9.0,1.0,3.0,1.0,1.0
                    Vishal Bhardwaj,16,25.0,Defender,58,36.0,45.0,30.0,33.0,4.0,2.23,9.0,1.0,3.0,1.0,1.0
                    Ajay Thakur,13,25.0,Raider,58,35.0,44.0,29.0,33.0,3.8,2.22,8.0,1.0,3.0,1.0,1.0
                    Fazel Atrachali,17,28.0,"Defender, left corner",57,34.0,43.0,28.0,31.0,3.78,2.21,8.0,1.0,3.0,1.0,1.0
                    Surender Gill,14,29.0,Raider,55,34.0,41.0,28.0,31.0,3.46,2.18,8.0,1.0,3.0,1.0,1.0
                    Sandeep Narwal,17,30.0,All Rounder,54,32.0,40.0,27.0,31.0,3.38,2.06,8.0,1.0,2.0,1.0,1.0
                    PO Surjeet Singh,18,31.0,"Defender, right cover",53,30.0,40.0,27.0,29.0,3.36,2.0,8.0,1.0,2.0,1.0,1.0
                    Baldev Singh,18,31.0,"Defender, right corner",53,29.0,40.0,26.0,29.0,3.18,1.94,8.0,1.0,2.0,,1.0
                    Nitin Tomar,11,33.0,Raider,52,28.0,38.0,26.0,27.0,2.86,1.82,8.0,1.0,2.0,,1.0
                    Nitin Rawal,14,34.0,All Rounder,51,27.0,36.0,25.0,27.0,2.77,1.71,7.0,1.0,2.0,,1.0
                    Rinku Narwal,18,35.0,Defender,48,27.0,35.0,23.0,26.0,2.73,1.69,7.0,1.0,2.0,,1.0
                    Neeraj Kumar,17,36.0,"Defender, right cover",47,23.0,32.0,23.0,25.0,2.71,1.59,7.0,1.0,2.0,,1.0
                    Sunil Kumar,18,36.0,Defender,47,23.0,31.0,22.0,25.0,2.67,1.5,7.0,1.0,2.0,,1.0
                    Monu Goyat,9,38.0,Raider,46,23.0,30.0,21.0,23.0,2.55,1.47,6.0,1.0,2.0,,
                    Rishank Devadiga,13,38.0,Raider,46,22.0,29.0,20.0,22.0,2.5,1.45,6.0,,2.0,,
                    Surinder Singh,17,38.0,Defender,46,21.0,28.0,19.0,21.0,2.5,1.44,6.0,,2.0,,
                    Mahender Singh,15,38.0,"Defender, left cover",46,20.0,28.0,18.0,20.0,2.5,1.44,5.0,,2.0,,
                    Jaideep,17,42.0,"Defender, left corner",45,20.0,27.0,17.0,19.0,2.5,1.4,5.0,,2.0,,
                    Suraj Desai,12,42.0,Raider,45,19.0,25.0,16.0,19.0,2.46,1.39,5.0,,2.0,,
                    Farhad Rahimi Milaghardan,16,42.0,All Rounder,45,19.0,23.0,16.0,18.0,2.38,1.36,5.0,,2.0,,
                    Rohit Baliyan,14,45.0,Raider,44,18.0,22.0,16.0,17.0,2.29,1.33,5.0,,2.0,,
                    Ravinder Pahal,16,45.0,"Defender, right corner",44,17.0,22.0,16.0,17.0,2.23,1.33,4.0,,1.0,,
                    Nitesh Kumar,17,45.0,Defender,44,16.0,19.0,15.0,16.0,2.2,1.31,4.0,,1.0,,
                    Nilesh Salunke,15,48.0,Raider,43,14.0,19.0,15.0,16.0,2.0,1.31,4.0,,1.0,,
                    Saurabh Nandal,16,49.0,"Defender, left corner",42,12.0,17.0,15.0,16.0,2.0,1.3,4.0,,1.0,,
                    Hadi Oshtorak,17,50.0,All Rounder,41,12.0,16.0,14.0,15.0,2.0,1.29,3.0,,1.0,,
                    Joginder Singh Narwal,16,50.0,"Defender, left corner",41,10.0,14.0,14.0,14.0,2.0,1.25,3.0,,1.0,,
                    Deepak Narwal,15,50.0,Raider,41,9.0,11.0,13.0,14.0,1.87,1.2,3.0,,1.0,,
                    Manjeet Chhillar,15,50.0,All Rounder,41,7.0,11.0,13.0,14.0,1.67,1.19,3.0,,1.0,,
                    Parvesh Bhainswal,18,54.0,"Defender, left cover",40,7.0,11.0,11.0,13.0,1.64,1.14,3.0,,1.0,,
                    Sunil,14,55.0,"Defender, right corner",39,7.0,11.0,10.0,13.0,1.57,1.13,2.0,,1.0,,
                    Vishal,12,56.0,All Rounder,38,7.0,10.0,10.0,12.0,1.55,1.11,2.0,,1.0,,
                    Dharmaraj Cheralathan,15,56.0,"Defender, right and left corner",38,6.0,10.0,10.0,11.0,1.5,1.09,2.0,,1.0,,
                    Prashanth Kumar Rai,10,56.0,Raider,38,6.0,10.0,10.0,11.0,1.5,1.08,2.0,,1.0,,
                    Mohit Chhillar,17,59.0,"Defender, right corner",37,6.0,9.0,10.0,11.0,1.47,1.07,2.0,,1.0,,
                    Jang Kun Lee,11,60.0,Raider,36,6.0,9.0,9.0,10.0,1.46,1.0,2.0,,1.0,,
                    Athul MS,13,60.0,Raider,36,5.0,8.0,9.0,10.0,1.4,1.0,2.0,,1.0,,
                    Monu,17,60.0,Raider,36,5.0,8.0,8.0,10.0,1.33,1.0,2.0,,1.0,,
                    Amit Kumar,12,63.0,Raider,35,5.0,8.0,8.0,9.0,1.2,0.89,2.0,,1.0,,
                    Mohammad Esmaeil Maghsoudlou Mahalli,16,63.0,Raider,35,4.0,7.0,8.0,9.0,1.14,0.88,1.0,,1.0,,
                    Ran Singh,17,63.0,All Rounder,35,4.0,7.0,7.0,8.0,1.13,0.85,1.0,,1.0,,
                    Vikas Kale,15,63.0,"Defender, right cover",35,4.0,6.0,7.0,8.0,1.1,0.83,1.0,,1.0,,
                    Abozar Mohajermighani,16,67.0,Defender,34,4.0,6.0,7.0,8.0,1.0,0.83,1.0,,1.0,,
                    Sumit Singh,13,67.0,Raider,34,4.0,6.0,7.0,7.0,1.0,0.82,1.0,,1.0,,
                    Amit Sheoran,17,67.0,Defender,34,4.0,6.0,6.0,7.0,1.0,0.8,1.0,,1.0,,
                    Vijay,15,70.0,All Rounder,33,3.0,6.0,6.0,7.0,0.93,0.77,1.0,,1.0,,
                    Sonu Jaglan,13,70.0,Raider,33,3.0,5.0,6.0,7.0,0.89,0.75,1.0,,1.0,,
                    Ravi Kumar,14,72.0,"Defender, right cover",31,3.0,5.0,6.0,7.0,0.85,0.75,1.0,,1.0,,
                    Meraj Sheykh,12,72.0,All Rounder,31,3.0,5.0,6.0,7.0,0.8,0.7,,,1.0,,
                    Amit Hooda,12,72.0,"Defender, right corner",31,3.0,5.0,5.0,6.0,0.8,0.69,,,1.0,,
                    Ashu Singh,17,72.0,"Defender, right cover",31,3.0,4.0,5.0,6.0,0.79,0.67,,,1.0,,
                    Girish Maruti Ernak,13,76.0,"Defender, left corner",29,3.0,4.0,5.0,6.0,0.71,0.67,,,1.0,,
                    Jeeva Kumar,17,76.0,"Defender, right and left cover",29,3.0,4.0,4.0,5.0,0.67,0.67,,,1.0,,
                    Sukesh Hegde,11,76.0,Raider,29,2.0,4.0,4.0,5.0,0.67,0.67,,,1.0,,
                    Shabeer Bappu,14,76.0,Raider,29,2.0,4.0,4.0,5.0,0.67,0.65,,,,,
                    Rajnish,8,80.0,Raider,28,2.0,4.0,4.0,5.0,0.6,0.61,,,,,
                    Jadhav Balasaheb Shahaji,16,81.0,"Defender, right cover",27,2.0,3.0,4.0,5.0,0.57,0.6,,,,,
                    Vikas Jaglan,17,82.0,All Rounder,25,1.0,3.0,4.0,4.0,0.5,0.57,,,,,
                    Pawan Kumar Kadian,6,82.0,Raider,25,1.0,3.0,4.0,4.0,0.5,0.57,,,,,
                    Amit,17,84.0,"Defender, left cover",24,1.0,2.0,4.0,4.0,0.5,0.56,,,,,
                    Rakesh Gowda,7,84.0,Raider,24,1.0,2.0,4.0,4.0,0.36,0.5,,,,,
                    C. Arun,16,86.0,"Defender, left cover",21,1.0,2.0,4.0,4.0,0.33,0.44,,,,,
                    Vishal Mane,16,86.0,"Defender, right cover",21,1.0,2.0,3.0,4.0,0.33,0.4,,,,,
                    Sushil Gulia,7,88.0,Raider,20,1.0,2.0,3.0,4.0,0.33,0.39,,,,,
                    Ajinkya Ashok Pawar,14,89.0,Raider,19,1.0,2.0,3.0,4.0,0.25,0.33,,,,,
                    Shubham Shinde,13,90.0,"Defender, right corner",18,1.0,2.0,3.0,4.0,0.25,0.33,,,,,
                    Harendra Kumar,15,91.0,"Defender, left cover",17,1.0,2.0,3.0,4.0,0.25,0.33,,,,,
                    Mohit Sehrawat,11,91.0,"Defender, right cover",17,1.0,2.0,3.0,4.0,0.2,0.33,,,,,
                    Hadi Tajik,11,91.0,"Defender, right corner",17,1.0,2.0,3.0,4.0,0.17,0.31,,,,,
                    Anil Kumar,12,94.0,"Defender, left cover",16,1.0,2.0,3.0,3.0,0.14,0.3,,,,,
                    Pankaj,7,94.0,All Rounder,16,1.0,1.0,3.0,3.0,0.0,0.29,,,,,
                    Sumit Malik,14,96.0,"Defender, left corner",15,1.0,1.0,3.0,3.0,0.0,0.29,,,,,
                    Ajeet,14,97.0,"Defender, right cover",14,1.0,1.0,3.0,3.0,0.0,0.28,,,,,
                    Santhapanaselvam,6,97.0,All Rounder,14,1.0,1.0,2.0,3.0,0.0,0.27,,,,,
                    Vineet Sharma,10,97.0,Raider,14,1.0,1.0,2.0,3.0,0.0,0.27,,,,,
                    Sagar B Krishna,10,100.0,All Rounder,13,1.0,1.0,2.0,3.0,0.0,0.25,,,,,
                    Amit Kumar,9,100.0,Raider,13,1.0,1.0,2.0,3.0,0.0,0.24,,,,,
                    Ankit,12,100.0,"Defender, right corner",13,1.0,1.0,2.0,3.0,0.0,0.23,,,,,
                    Amit Kumar,5,100.0,All Rounder,13,,1.0,2.0,2.0,0.0,0.2,,,,,
                    Selvamani K,6,104.0,Raider,12,,1.0,2.0,2.0,,0.18,,,,,
                    Sachin Narwal,11,104.0,All Rounder,12,,1.0,2.0,2.0,,0.15,,,,,
                    Pavan T. R.,13,106.0,"Defender, right cover",11,,1.0,2.0,2.0,,0.13,,,,,
                    Banty,9,106.0,Raider,11,,,2.0,2.0,,0.13,,,,,
                    Surender Singh,4,106.0,Raider,11,,,2.0,2.0,,0.11,,,,,
                    Dong Geon Lee,4,109.0,Raider,10,,,2.0,2.0,,0.09,,,,,
                    Ruturaj Shivaji Koravi,13,109.0,Defender,10,,,2.0,2.0,,0.08,,,,,
                    Sunil Siddhgavali,13,111.0,Defender,9,,,2.0,2.0,,0.08,,,,,
                    Armaan,6,111.0,All Rounder,9,,,2.0,2.0,,0.07,,,,,
                    Sagar,9,111.0,"Defender, right corner",9,,,2.0,2.0,,0.07,,,,,
                    Sushant Sail,7,114.0,Raider,8,,,2.0,2.0,,0.07,,,,,
                    Ankit Beniwal,5,114.0,Raider,8,,,1.0,2.0,,0.06,,,,,
                    Victor Onyango Obiero,3,114.0,All Rounder,8,,,1.0,2.0,,0.0,,,,,
                    Saeid Ghaffari,9,114.0,"Defender, left cover",8,,,1.0,1.0,,0.0,,,,,
                    Mohsen Maghsoudloujafari,10,118.0,All Rounder,7,,,1.0,1.0,,0.0,,,,,
                    Viraj Vishnu Landge,8,118.0,"Defender, left cover",7,,,1.0,1.0,,0.0,,,,,
                    Vinod Kumar,7,118.0,All Rounder,7,,,1.0,1.0,,,,,,,
                    Ankush,3,118.0,Raider,7,,,1.0,1.0,,,,,,,
                    Sanket Sawant,5,118.0,"Defender, left cover",7,,,1.0,1.0,,,,,,,
                    Chand Singh,6,123.0,"Defender, left corner",6,,,1.0,1.0,,,,,,,
                    Kuldeep Singh,8,123.0,Defender,6,,,1.0,1.0,,,,,,,
                    Anand,5,123.0,Raider,6,,,1.0,1.0,,,,,,,
                    Azad Singh,4,123.0,Raider,6,,,1.0,1.0,,,,,,,
                    M. Abishek,5,123.0,"Defender, right cover",6,,,1.0,1.0,,,,,,,
                    Young Chang Ko,10,123.0,"Defender, left cover",6,,,1.0,1.0,,,,,,,
                    Abolfazl Maghsodloumahali,6,129.0,Raider,5,,,1.0,1.0,,,,,,,
                    Ashish Kumar,6,129.0,All Rounder,5,,,1.0,1.0,,,,,,,
                    Amit Kumar,3,129.0,All Rounder,5,,,1.0,1.0,,,,,,,
                    Ashish,7,129.0,Raider,5,,,1.0,1.0,,,,,,,
                    Lalit Chaudhary,4,129.0,Raider,5,,,1.0,1.0,,,,,,,
                    Ankit,5,129.0,Defender,5,,,1.0,1.0,,,,,,,
                    Vijay Kumar,9,129.0,"Defender, right corner",5,,,1.0,1.0,,,,,,,
                    Mayur Shivtarkar,6,136.0,All Rounder,4,,,1.0,1.0,,,,,,,
                    Parveen,6,136.0,"Defender, left cover",4,,,1.0,1.0,,,,,,,
                    Purna Singh,5,136.0,Raider,4,,,1.0,1.0,,,,,,,
                    Sachin Kumar,12,136.0,All Rounder,4,,,,,,,,,,,
                    Gurvinder Singh,2,136.0,Raider,4,,,,,,,,,,,
                    Krushna Madane,7,136.0,Defender,4,,,,,,,,,,,
                    Darshan Kadian,5,136.0,Raider,4,,,,,,,,,,,
                    Jawahar Dagar,5,136.0,Defender,4,,,,,,,,,,,
                    Elavarasan A,3,136.0,"Defender, left cover",4,,,,,,,,,,,
                    Harmanjit Singh,3,136.0,Raider,4,,,,,,,,,,,
                    Ravinder,4,146.0,All Rounder,3,,,,,,,,,,,
                    Rakesh Narwal,1,146.0,Raider,3,,,,,,,,,,,
                    Adarsh T,9,146.0,"Defender, left corner",3,,,,,,,,,,,
                    Aman Kadian,2,149.0,Raider,2,,,,,,,,,,,
                    Ajay,7,149.0,Defender,2,,,,,,,,,,,
                    Kamal Singh,3,149.0,Raider,2,,,,,,,,,,,
                    Arun Kumar HN,2,149.0,Raider,2,,,,,,,,,,,
                    Ponparthiban Subramanian,5,149.0,"Defender, right cover",2,,,,,,,,,,,
                    Gurdeep,2,149.0,All Rounder,2,,,,,,,,,,,
                    Rajaguru Subramanian,4,149.0,"Defender, right cover",2,,,,,,,,,,,
                    Ravindra Ramesh Kumawat,2,149.0,Raider,2,,,,,,,,,,,
                    Balram,1,149.0,All Rounder,2,,,,,,,,,,,
                    Palle Mallikarjun,3,149.0,Raider,2,,,,,,,,,,,
                    Naveen Narwal,3,159.0,"Defender, right cover",1,,,,,,,,,,,
                    Vikas Chhillar,1,159.0,Raider,1,,,,,,,,,,,
                    Mohammad Taghi Paein Mahali,3,159.0,Raider,1,,,,,,,,,,,
                    Ajinkya Rohidas Kapre,2,159.0,All Rounder,1,,,,,,,,,,,
                    Satywan,1,159.0,"Defender, left cover",1,,,,,,,,,,,
                    Aman,2,159.0,"Defender, left corner",1,,,,,,,,,,,
                    Emad Sedaghatnia,1,159.0,Raider,1,,,,,,,,,,,
